date,股票代码,open,close,high,low,volume,amount,振幅,pct_change,涨跌额,换手率
2026-02-24,000001,10.93,10.91,10.95,10.88,602512,657487700.23,0.64,0.0,0.0,0.31
2026-02-25,000001,10.91,10.86,10.95,10.78,1063135,1156693737.43,1.56,-0.46,-0.05,0.55
2026-02-26,000001,10.86,10.87,10.91,10.8,712730,772947726.7,1.01,0.09,0.01,0.37
2026-02-27,000001,10.86,10.9,10.92,10.84,612228,666177345.8,0.74,0.28,0.03,0.32
2026-03-02,000001,10.85,10.85,10.89,10.77,838874,908747811.55,1.1,-0.46,-0.05,0.43
2026-03-03,000001,10.85,10.88,10.95,10.8,1028695,1119402076.0,1.38,0.28,0.03,0.53
2026-03-04,000001,10.84,10.71,10.84,10.67,1089714,1167995855.73,1.56,-1.56,-0.17,0.56
2026-03-05,000001,10.72,10.81,10.84,10.7,712641,768553597.53,1.31,0.93,0.1,0.37
2026-03-06,000001,10.78,10.82,10.84,10.77,476577,514733549.73,0.65,0.09,0.01,0.25
2026-03-09,000001,10.79,10.76,10.82,10.74,835892,900716851.39,0.74,-0.55,-0.06,0.43
2026-03-10,000001,10.77,10.81,10.81,10.73,790112,850573535.93,0.74,0.46,0.05,0.41
2026-03-11,000001,10.79,10.89,10.9,10.77,720535,781041008.86,1.2,0.74,0.08,0.37
2026-03-12,000001,10.87,10.94,10.96,10.85,754906,824171953.5,1.01,0.46,0.05,0.39
2026-03-13,000001,10.93,10.93,11.0,10.87,841939,920839355.51,1.19,-0.09,-0.01,0.43
2026-03-16,000001,10.93,10.96,10.97,10.88,434485,474852894.53,0.82,0.27,0.03,0.22
